datacenter-server-001,$@m3$tr0ng_!p@$$w0rD!-01
datacenter-server-067,$@m3$tr0ng_!p@$$w0rD!-67
datacenter-server-068,$@m3$tr0ng_!p@$$w0rD!-68
datacenter-server-069,$@m3$tr0ng_!p@$$w0rD!-69
datacenter-server-070,$@m3$tr0ng_!p@$$w0rD!-70
datacenter-server-071,$@m3$tr0ng_!p@$$w0rD!-71
datacenter-server-072,$@m3$tr0ng_!p@$$w0rD!-72
datacenter-server-073,$@m3$tr0ng_!p@$$w0rD!-73
datacenter-server-074,$@m3$tr0ng_!p@$$w0rD!-74
datacenter-server-075,$@m3$tr0ng_!p@$$w0rD!-75
datacenter-server-076,$@m3$tr0ng_!p@$$w0rD!-76
datacenter-server-077,$@m3$tr0ng_!p@$$w0rD!-77
datacenter-server-078,$@m3$tr0ng_!p@$$w0rD!-78
datacenter-server-079,$@m3$tr0ng_!p@$$w0rD!-79
datacenter-server-080,$@m3$tr0ng_!p@$$w0rD!-80
datacenter-server-081,$@m3$tr0ng_!p@$$w0rD!-81
datacenter-server-082,$@m3$tr0ng_!p@$$w0rD!-82
datacenter-server-083,$@m3$tr0ng_!p@$$w0rD!-83
datacenter-server-084,$@m3$tr0ng_!p@$$w0rD!-84
datacenter-server-085,$@m3$tr0ng_!p@$$w0rD!-85
datacenter-server-086,$@m3$tr0ng_!p@$$w0rD!-86
datacenter-server-087,$@m3$tr0ng_!p@$$w0rD!-87
datacenter-server-088,$@m3$tr0ng_!p@$$w0rD!-88
datacenter-server-089,$@m3$tr0ng_!p@$$w0rD!-89
datacenter-server-090,$@m3$tr0ng_!p@$$w0rD!-90
datacenter-server-091,$@m3$tr0ng_!p@$$w0rD!-91
datacenter-server-092,$@m3$tr0ng_!p@$$w0rD!-92
datacenter-server-093,$@m3$tr0ng_!p@$$w0rD!-93
datacenter-server-094,$@m3$tr0ng_!p@$$w0rD!-94
datacenter-server-095,$@m3$tr0ng_!p@$$w0rD!-95
datacenter-server-096,$@m3$tr0ng_!p@$$w0rD!-96
datacenter-server-097,$@m3$tr0ng_!p@$$w0rD!-97
datacenter-server-098,$@m3$tr0ng_!p@$$w0rD!-98
datacenter-server-099,$@m3$tr0ng_!p@$$w0rD!-99
datacenter-server-100,$@m3$tr0ng_!p@$$w0rD!-100
